"","id","blockno","condition","rel_freq","mean_feeling_r","PR"
"1","md_as_13","3","control",0.757575757575758,71.64,5.88888888888889
"2","md_as_14","3","control",0.575757575757576,43.24,5.55555555555556
"3","md_as_15","3","control",0.878787878787879,66.36,6.33333333333333
"4","md_as_16","3","control",0.181818181818182,45.44,6.44444444444444
"5","md_as_17","3","control",0.272727272727273,51.08,5.55555555555556
"6","md_as_18","3","control",0,48.88,4.22222222222222
"7","md_as_19","3","control",0.878787878787879,44.24,6.55555555555556
"8","md_as_21","3","control",0.272727272727273,58.84,4.88888888888889
"9","md_as_22","3","control",0.84375,50.8,5.88888888888889
"10","md_as_30","3","control",0.272727272727273,51.04,6.22222222222222
"11","md_as_31","3","control",0.575757575757576,53.04,4.88888888888889
"12","md_as_32","3","control",0.454545454545455,70.24,5.55555555555556
"13","md_as_33","3","control",1,76.16,7
"14","md_as_34","3","control",0.65625,47.84,6.33333333333333
"15","md_as_35","3","control",0.151515151515152,45.88,5.44444444444444
"16","md_as_36","3","control",0.545454545454545,51.44,6.44444444444444
"17","md_as_37","3","control",0.121212121212121,26.16,4.77777777777778
"18","md_as_38","3","control",0.818181818181818,50.56,5.66666666666667
"19","md_as_40","3","control",0.121212121212121,49.8,5.66666666666667
"20","md_as_41","3","control",0.454545454545455,80.92,6
"21","md_as_42","3","control",0.878787878787879,78.92,5.66666666666667
"22","md_as_47","3","control",0.625,48.76,5.22222222222222
"23","md_as_48","3","control",0.424242424242424,66.52,6.22222222222222
"24","md_as_49","3","control",0.878787878787879,62.88,6
"25","md_as_50","3","control",0.0909090909090909,64.12,6
"26","md_as_52","3","control",0.545454545454545,44.32,5.66666666666667
"27","md_as_53","3","control",0.53125,56.72,6
"28","md_as_13","5","control",0.636363636363636,73.56,5.88888888888889
"29","md_as_14","5","control",0.545454545454545,48.72,5.55555555555556
"30","md_as_15","5","control",0.787878787878788,68.44,6.33333333333333
"31","md_as_16","5","control",0.212121212121212,45.92,6.44444444444444
"32","md_as_17","5","control",0.4375,52.72,5.55555555555556
"33","md_as_18","5","control",0,53.2,4.22222222222222
"34","md_as_19","5","control",0.818181818181818,46.88,6.55555555555556
"35","md_as_21","5","control",0.0606060606060606,54,4.88888888888889
"36","md_as_22","5","control",0.909090909090909,51.76,5.88888888888889
"37","md_as_30","5","control",0.424242424242424,50.4,6.22222222222222
"38","md_as_31","5","control",0.575757575757576,56.04,4.88888888888889
"39","md_as_32","5","control",0.484848484848485,74.96,5.55555555555556
"40","md_as_33","5","control",0.909090909090909,71.24,7
"41","md_as_34","5","control",0.34375,52,6.33333333333333
"42","md_as_35","5","control",0.121212121212121,49.28,5.44444444444444
"43","md_as_36","5","control",0.545454545454545,48.24,6.44444444444444
"44","md_as_37","5","control",0.181818181818182,49.12,4.77777777777778
"45","md_as_38","5","control",0.848484848484849,53.32,5.66666666666667
"46","md_as_40","5","control",0.151515151515152,49.24,5.66666666666667
"47","md_as_41","5","control",0.424242424242424,81.68,6
"48","md_as_42","5","control",0.848484848484849,81.72,5.66666666666667
"49","md_as_47","5","control",0.575757575757576,41.84,5.22222222222222
"50","md_as_48","5","control",0.242424242424242,59,6.22222222222222
"51","md_as_49","5","control",0.848484848484849,54.76,6
"52","md_as_50","5","control",0.15625,49.64,6
"53","md_as_52","5","control",0.636363636363636,50.48,5.66666666666667
"54","md_as_53","5","control",0.5625,48.08,6
"55","md_as_13","3","treatment",0.666666666666667,72.44,5.88888888888889
"56","md_as_14","3","treatment",0.606060606060606,61.48,5.55555555555556
"57","md_as_15","3","treatment",0.787878787878788,82.52,6.33333333333333
"58","md_as_16","3","treatment",0.333333333333333,72.84,6.44444444444444
"59","md_as_17","3","treatment",0.424242424242424,59.24,5.55555555555556
"60","md_as_18","3","treatment",0.666666666666667,57.44,4.22222222222222
"61","md_as_19","3","treatment",0.78125,54.92,6.55555555555556
"62","md_as_21","3","treatment",0.606060606060606,85.04,4.88888888888889
"63","md_as_22","3","treatment",1,77.6,5.88888888888889
"64","md_as_30","3","treatment",0.696969696969697,65.72,6.22222222222222
"65","md_as_31","3","treatment",0.666666666666667,56.04,4.88888888888889
"66","md_as_32","3","treatment",0.484848484848485,74.16,5.55555555555556
"67","md_as_33","3","treatment",0.90625,91.2,7
"68","md_as_34","3","treatment",0.774193548387097,71.36,6.33333333333333
"69","md_as_35","3","treatment",0.333333333333333,73.72,5.44444444444444
"70","md_as_36","3","treatment",0.575757575757576,70.32,6.44444444444444
"71","md_as_37","3","treatment",0.727272727272727,71.44,4.77777777777778
"72","md_as_38","3","treatment",0.848484848484849,72.28,5.66666666666667
"73","md_as_40","3","treatment",0.575757575757576,77.36,5.66666666666667
"74","md_as_41","3","treatment",0.575757575757576,89.72,6
"75","md_as_42","3","treatment",0.878787878787879,85.72,5.66666666666667
"76","md_as_47","3","treatment",0.454545454545455,57.52,5.22222222222222
"77","md_as_48","3","treatment",0.515151515151515,68.16,6.22222222222222
"78","md_as_49","3","treatment",0.875,79.92,6
"79","md_as_50","3","treatment",0.272727272727273,87.28,6
"80","md_as_52","3","treatment",0.545454545454545,76.36,5.66666666666667
"81","md_as_53","3","treatment",0.848484848484849,67.52,6
"82","md_as_13","5","treatment",0.636363636363636,62.28,5.88888888888889
"83","md_as_14","5","treatment",0.303030303030303,27.48,5.55555555555556
"84","md_as_15","5","treatment",0.636363636363636,64.28,6.33333333333333
"85","md_as_16","5","treatment",0.393939393939394,38.36,6.44444444444444
"86","md_as_17","5","treatment",0.272727272727273,43.48,5.55555555555556
"87","md_as_18","5","treatment",0.0303030303030303,30.44,4.22222222222222
"88","md_as_19","5","treatment",0.5625,40.16,6.55555555555556
"89","md_as_21","5","treatment",0.151515151515152,21.04,4.88888888888889
"90","md_as_22","5","treatment",0.833333333333333,33.28,5.88888888888889
"91","md_as_30","5","treatment",0.333333333333333,18.48,6.22222222222222
"92","md_as_31","5","treatment",0.515151515151515,27.48,4.88888888888889
"93","md_as_32","5","treatment",0.393939393939394,58.4,5.55555555555556
"94","md_as_33","5","treatment",0.939393939393939,22.64,7
"95","md_as_34","5","treatment",0.818181818181818,36.36,6.33333333333333
"96","md_as_35","5","treatment",0.151515151515152,23.2,5.44444444444444
"97","md_as_36","5","treatment",0.303030303030303,30.48,6.44444444444444
"98","md_as_37","5","treatment",0,13.6,4.77777777777778
"99","md_as_38","5","treatment",0.818181818181818,29.52,5.66666666666667
"100","md_as_40","5","treatment",0.4375,32.96,5.66666666666667
"101","md_as_41","5","treatment",0.454545454545455,92.56,6
"102","md_as_42","5","treatment",0.939393939393939,78.76,5.66666666666667
"103","md_as_47","5","treatment",0.575757575757576,15.76,5.22222222222222
"104","md_as_48","5","treatment",0.181818181818182,44.72,6.22222222222222
"105","md_as_49","5","treatment",0.848484848484849,26.96,6
"106","md_as_50","5","treatment",0.0909090909090909,25.44,6
"107","md_as_52","5","treatment",0.606060606060606,28.24,5.66666666666667
"108","md_as_53","5","treatment",0.545454545454545,51.04,6
